account_id,segment,category,primary_service,negotiated_discount,contract_age_months,density_in3_per_lb,price_elasticity
A100000,Mid-Market,Home & Bulky,Ground,0.26148115510729886,7,296.28072594461344,-0.3173612997613391
A100001,SME,Apparel/Soft Goods,Ground,0.3788640151737403,35,222.376139398467,-0.5053415656765591
A100002,Mid-Market,Apparel/Soft Goods,Ground Economy,0.3112093512630785,17,200.33681914919333,-0.3955040630923417
A100003,Mid-Market,Electronics,Ground,0.22306014222613793,28,112.27734965522205,-0.34418576083286045
A100004,SME,Industrial/B2B,Ground,0.22431632871203533,14,67.84238683948765,-0.5270347686751594
A100005,Enterprise,Health/Beauty,Ground,0.4647058696031102,23,119.69087197883417,-0.23456483685348836
A100006,Mid-Market,Electronics,Ground Economy,0.3043578520856701,32,106.56463748372354,-0.3601199571715258
A100007,Mid-Market,Apparel/Soft Goods,Ground,0.48403540938983114,37,167.5138673801674,-0.39288539657881544
A100008,SME,Apparel/Soft Goods,Ground,0.268636373928509,9,226.62912594079373,-0.6814000976216145
A100009,SME,Home & Bulky,Ground Economy,0.34912052011314937,28,316.0021842685921,-0.5358216490835728
A100010,SME,Health/Beauty,Ground Economy,0.5592676723018242,38,117.11682670530543,-0.6472953693018345
A100011,Enterprise,Industrial/B2B,Ground,0.21426132553367208,27,94.59175125906312,-0.2384592122211428
A100012,Mid-Market,Industrial/B2B,Ground,0.13021855001002233,6,73.24739953961868,-0.2963672063712543
A100013,Mid-Market,Industrial/B2B,Ground Economy,0.44865901312872336,8,85.06026083078557,-0.3171781893319791
A100014,SME,Industrial/B2B,Ground,0.23731908946069263,9,78.81666081732004,-0.48122833964673356
A100015,SME,Industrial/B2B,Ground,0.3179293635893766,5,99.75070950742436,-0.4794761193530454
A100016,SME,Apparel/Soft Goods,Ground,0.26140817895484153,31,184.34180702876566,-0.5425510959461879
A100017,SME,Apparel/Soft Goods,Ground,0.3468162780955316,40,248.24076363811122,-0.6007081339667504
A100018,Mid-Market,Home & Bulky,Ground,0.2249463792814258,22,248.5002677926091,-0.45154402975216923
A100019,Mid-Market,Electronics,Ground,0.3020059912116694,25,105.96855987275165,-0.3975659800573296
A100020,Mid-Market,Apparel/Soft Goods,Express,0.3649815326556534,32,162.62506108335285,-0.3545962653049671
A100021,SME,Industrial/B2B,Ground,0.2191691113725738,18,94.10191306678468,-0.3782150974005354
A100022,Enterprise,Electronics,Ground,0.24999159703541113,20,139.33671748808547,-0.22232945598877216
A100023,Mid-Market,Electronics,Ground,0.2852617166401468,25,125.90373914119647,-0.3814689010406145
A100024,Mid-Market,Apparel/Soft Goods,Ground,0.17711845657737219,13,294.62783699046525,-0.3904269389517206
A100025,SME,Apparel/Soft Goods,Ground Economy,0.27774390172012536,3,264.04596570338185,-0.723764824560525
A100026,SME,Apparel/Soft Goods,Ground,0.3318796539902902,24,198.3754504936968,-0.6523492150609286
A100027,SME,Industrial/B2B,Ground,0.28004510584115716,34,84.84795557232547,-0.6147675257556239
A100028,SME,Electronics,Express,0.29286235070682753,4,130.14544914088364,-0.47062863676909306
A100029,Mid-Market,Health/Beauty,Ground,0.3180098329093415,9,118.88191665327273,-0.35075929929578564
A100030,Mid-Market,Home & Bulky,Ground,0.2544256537567686,11,314.58229274572034,-0.3745938574050754
A100031,Enterprise,Home & Bulky,Express,0.38910625658668774,33,276.9229044222797,-0.19441156490765832
A100032,SME,Home & Bulky,Ground,0.4635978124801776,21,272.0022770281794,-0.5912883233112723
A100033,SME,Health/Beauty,Ground Economy,0.27356196078045514,22,157.31123242782456,-0.5794449800602957
A100034,SME,Health/Beauty,Ground Economy,0.3685198231477707,27,183.4153130609003,-0.4602146070729879
A100035,SME,Apparel/Soft Goods,Ground Economy,0.2960382844565353,12,216.46211231268768,-0.6487373785004302
