account_id,shipments,revenue,leakage,cost,margin,margin_pct,leak_pct_of_rev,segment,category,primary_service,negotiated_discount,contract_age_months,density_in3_per_lb,price_elasticity,risk_score,priority_tier,lever_a_dim_correction_recovery,recommended_price_increase_pct,expected_volume_change_pct,lever_b_net_revenue_gain,total_recommended_recovery
A100172,70,3258.2400000000002,1001.36,835.07,2423.17,0.7437051905323119,0.30733156550775875,SME,Home & Bulky,Ground,0.2835571581935758,37,328.07144431688295,-0.562228405435137,0.4891,Tier 1 - Act Now,1001.36,2.67,-1.5,36.75,1038.1100000000001
A100620,79,3659.42,913.94,890.99,2768.43,0.7565215252690316,0.2497499603762345,Mid-Market,Home & Bulky,Ground Economy,0.2862570245893825,29,348.4734808852443,-0.3361928899818896,0.3975,Tier 1 - Act Now,913.94,4.46,-1.5,105.93,1019.8700000000001
A100469,69,3520.22,921.45,774.13,2746.09,0.7800904488923989,0.2617592082313038,SME,Home & Bulky,Express,0.1906495140661624,18,325.53712491004626,-0.5915971202790928,0.4166,Tier 1 - Act Now,921.45,2.54,-1.5,35.11,956.5600000000001
A100809,59,2872.04,800.38,686.01,2186.03,0.7611419061015864,0.27867996267461453,Enterprise,Home & Bulky,Ground Economy,0.266170090468335,28,352.7201599385499,-0.239824590375197,0.4435,Tier 1 - Act Now,800.38,6.25,-1.5,133.86,934.24
A100802,81,3066.81,836.0,836.96,2229.85,0.7270910163981466,0.27259595475428866,Mid-Market,Home & Bulky,Ground,0.3246513170214741,31,317.43722566285464,-0.48803686665217,0.4339,Tier 1 - Act Now,836.0,3.07,-1.5,46.84,882.84
A100380,68,4408.22,793.81,811.5,3596.72,0.8159120915017852,0.18007495088720615,SME,Home & Bulky,Ground,0.1155271736995179,10,351.47960972124633,-0.5697305914776222,0.2866,Tier 1 - Act Now,793.81,2.63,-1.5,48.2,842.01
A100602,68,2810.84,604.87,650.58,2160.26,0.768546057406327,0.21519189993026994,Enterprise,Home & Bulky,Ground,0.234730688536518,3,297.495147822785,-0.2024197227898359,0.3425,Tier 1 - Act Now,604.87,7.41,-1.5,163.01,767.88
A100410,74,2255.45,708.55,786.29,1469.16,0.6513822075417324,0.3141501695892172,Mid-Market,Home & Bulky,Express,0.4623559472265033,33,334.740903841026,-0.480935470138471,0.5389,Tier 1 - Act Now,708.55,3.12,-1.5,35.46,744.01
A100237,68,3671.12,656.29,752.15,2918.9700000000003,0.7951170215084226,0.17877105624441586,Mid-Market,Home & Bulky,Ground Economy,0.1877804033912551,8,316.6055688743271,-0.4257889107465832,0.2845,Tier 1 - Act Now,656.29,3.52,-1.5,72.32,728.6099999999999
A100189,67,3104.0099999999998,670.46,654.27,2449.7400000000002,0.7892178182415651,0.215998015470311,SME,Home & Bulky,Ground Economy,0.1535643606669799,33,255.5951341782261,-0.4941482963219964,0.3438,Tier 1 - Act Now,670.46,3.04,-1.5,46.25,716.71
A100726,72,3410.81,638.89,734.88,2675.93,0.7845438473559067,0.1873132774912704,SME,Home & Bulky,Express,0.1918148752271334,18,286.9262551285942,-0.4459572921638614,0.2981,Tier 1 - Act Now,638.89,3.36,-1.5,61.84,700.73
A100648,87,2859.03,608.01,876.33,1982.7,0.693486951868291,0.21266303606467926,Mid-Market,Home & Bulky,Ground,0.4273257831789157,31,296.835551890196,-0.3923668239460278,0.3437,Tier 1 - Act Now,608.01,3.82,-1.5,64.77,672.78
A100645,65,3279.61,580.11,721.39,2558.22,0.7800378703565362,0.176883836797668,Mid-Market,Home & Bulky,Ground,0.245948417949888,37,346.088693732096,-0.37085853175112,0.2815,Tier 1 - Act Now,580.11,4.04,-1.5,81.47,661.58
A100849,73,2891.9,536.62,721.77,2170.13,0.7504166810747259,0.1855596666551402,Enterprise,Home & Bulky,Ground,0.3289508999763814,11,320.08395193561125,-0.2578634634993937,0.2953,Tier 1 - Act Now,536.62,5.82,-1.5,122.32,658.94
A100639,76,4666.75,647.23,959.3,3707.45,0.7944393850109819,0.13868966625595971,Mid-Market,Home & Bulky,Ground,0.2433684650384294,8,387.824311588667,-0.4262894841230222,0.2207,Tier 2 - Monitor,647.23,0.0,0.0,0.0,647.23
A100758,65,2643.31,624.4,652.42,1990.89,0.7531806712039073,0.23621898301750457,SME,Home & Bulky,Ground,0.2939771369436879,39,302.11184894360366,-0.6449442793050449,0.376,Tier 1 - Act Now,624.4,2.33,-1.5,20.91,645.31
A100394,61,2659.0,612.29,718.72,1940.28,0.7297028958254983,0.23027077848815342,SME,Home & Bulky,Ground,0.3557128676271321,26,342.9066344203797,-0.5987006653008122,0.3665,Tier 1 - Act Now,612.29,2.51,-1.5,25.73,638.02
A100137,54,1999.61,583.65,582.5,1417.1100000000001,0.7086931951730588,0.2918819169738099,SME,Home & Bulky,Ground,0.3755912031299442,25,312.7409391023356,-0.4729499126566832,0.4646,Tier 1 - Act Now,583.65,3.17,-1.5,32.47,616.12
A100607,66,2681.12,591.99,621.62,2059.5,0.7681491317061527,0.22079951661992003,SME,Home & Bulky,Ground Economy,0.2356190021475276,23,283.6754210202548,-0.7074752045726997,0.3514,Tier 1 - Act Now,591.99,2.12,-1.5,15.78,607.77
A100381,59,2964.01,459.75,615.18,2348.83,0.7924500929484043,0.15511081271655627,Enterprise,Home & Bulky,Express,0.1974608200530891,3,276.4952448684318,-0.2372655817599017,0.2469,Tier 1 - Act Now,459.75,6.32,-1.5,140.11,599.86
A100688,65,2649.74,499.42,662.73,1987.01,0.749888668322175,0.18847886962494437,Mid-Market,Home & Bulky,Ground Economy,0.3264136802378153,28,297.21737296505194,-0.3108652338311142,0.3,Tier 1 - Act Now,499.42,4.83,-1.5,86.19,585.61
A100439,61,2659.48,455.12,569.62,2089.86,0.7858152721584671,0.17113119858017356,Mid-Market,Home & Bulky,Ground,0.1941193540315663,27,277.17810504866554,-0.2699024419367181,0.2724,Tier 1 - Act Now,455.12,5.56,-1.5,105.69,560.81
A100453,76,2580.3,531.22,780.23,1800.07,0.6976204317327441,0.20587528581947834,SME,Home & Bulky,Ground,0.4137376966919648,12,284.74912669039986,-0.5750587564522346,0.3296,Tier 1 - Act Now,531.22,2.61,-1.5,27.59,558.8100000000001
A100426,67,2807.97,512.66,704.79,2103.18,0.7490037286723149,0.1825731756393409,SME,Home & Bulky,Ground,0.3204132882654866,30,319.43800930778013,-0.6988242648683617,0.2906,Tier 1 - Act Now,512.66,2.15,-1.5,17.25,529.91
A100724,68,2913.87,488.73,650.02,2263.85,0.7769221001623271,0.16772539612268222,SME,Home & Bulky,Express,0.2271675869210972,9,272.55920063926686,-0.5812235224916713,0.267,Tier 1 - Act Now,488.73,2.58,-1.5,30.36,519.09
A100169,73,2445.76,385.58,648.8,1796.96,0.7347245845872039,0.15765242705743815,Enterprise,Home & Bulky,Ground,0.3478332939570504,28,254.56187349196352,-0.2199010117654722,0.2509,Tier 1 - Act Now,385.58,6.82,-1.5,127.64,513.22
A100138,81,3493.91,498.37,803.09,2690.82,0.7701457679218985,0.14263962151286097,Mid-Market,Home & Bulky,Ground Economy,0.2736199558648565,26,305.6139799247695,-0.350904871612285,0.227,Tier 2 - Monitor,498.37,0.0,0.0,0.0,498.37
A100499,67,2450.86,460.33000000000004,670.55,1780.31,0.7264021608741421,0.18782386590829342,SME,Home & Bulky,Ground,0.3737433854227337,5,295.4820853662785,-0.5293104409303337,0.2989,Tier 1 - Act Now,460.33000000000004,2.83,-1.5,31.65,491.98
A100395,71,2545.77,446.46999999999997,755.79,1789.98,0.7031192920020269,0.17537719432627455,SME,Home & Bulky,Ground,0.4291583619377472,32,300.98067889073445,-0.4954545698893746,0.2791,Tier 1 - Act Now,446.46999999999997,3.03,-1.5,37.73,484.2
A100240,69,2280.9,433.25,630.77,1650.13,0.7234556534701214,0.1899469507650489,Mid-Market,Home & Bulky,Ground Economy,0.3596408502207068,33,241.91433832780368,-0.4172772152374016,0.3023,Tier 1 - Act Now,433.25,3.59,-1.5,46.55,479.8
A100503,60,2260.03,443.05,561.32,1698.71,0.7516316155095286,0.19603722074485735,SME,Home & Bulky,Ground,0.2972470584636779,41,280.17335025366367,-0.4948415017605821,0.312,Tier 1 - Act Now,443.05,3.03,-1.5,33.58,476.63
A100686,70,2748.37,444.26,720.15,2028.22,0.7379719615626718,0.1616449022511525,SME,Home & Bulky,Ground,0.3483906001175473,18,301.45008859094787,-0.5920021994467051,0.2573,Tier 1 - Act Now,444.26,2.53,-1.5,27.37,471.63
A100088,71,2374.4700000000003,421.55,609.16,1765.31,0.7434543287554696,0.17753435503501833,SME,Home & Bulky,Express,0.3030449284299556,14,256.50111203225714,-0.4584879364777519,0.2826,Tier 1 - Act Now,421.55,3.27,-1.5,40.9,462.45
A100207,64,3074.7400000000002,458.83,666.74,2408.0,0.7831556489329179,0.14922562558134994,Mid-Market,Home & Bulky,Ground Economy,0.2632277856747298,40,278.6977585829123,-0.3243772147776045,0.2375,Tier 2 - Monitor,458.83,0.0,0.0,0.0,458.83
A100076,81,3024.93,456.76,772.13,2252.8,0.7447445064844477,0.15099853550330092,SME,Home & Bulky,Ground Economy,0.3267555484080824,38,277.5841779282583,-0.7203645012603206,0.2403,Tier 2 - Monitor,456.76,0.0,0.0,0.0,456.76
A100236,66,3966.87,453.84999999999997,695.8,3271.07,0.8245972265287242,0.1144101016670574,SME,Home & Bulky,Express,0.0957172378389566,19,324.5761530325054,-0.5983026141603018,0.1821,Tier 2 - Monitor,453.84999999999997,0.0,0.0,0.0,453.84999999999997
A100566,81,3462.87,448.64,802.76,2660.11,0.7681807287019149,0.1295572747460921,Mid-Market,Home & Bulky,Ground Economy,0.2857155347090163,4,260.9920965163787,-0.3396588895696436,0.2062,Tier 2 - Monitor,448.64,0.0,0.0,0.0,448.64
A100446,55,1972.36,360.87,560.95,1411.4099999999999,0.7155945162140785,0.1829635563487396,Enterprise,Home & Bulky,Ground Economy,0.3939326025674903,16,294.04857686168737,-0.2737191809669041,0.2912,Tier 1 - Act Now,360.87,5.48,-1.5,76.88,437.75
A100105,58,1955.1,368.38,586.07,1369.03,0.700235282082758,0.18842002966600174,Mid-Market,Home & Bulky,Ground,0.4219510917664629,37,308.0256764674012,-0.2979898177473086,0.2999,Tier 1 - Act Now,368.38,5.03,-1.5,67.61,435.99
A100424,58,3157.6,427.93,736.37,2421.23,0.7667944008107423,0.1355238155561186,SME,Home & Bulky,Express,0.3370508186019649,4,332.4037879509593,-0.648302942043637,0.2157,Tier 2 - Monitor,427.93,0.0,0.0,0.0,427.93
A100337,73,3229.58,422.26,708.13,2521.45,0.7807361947993237,0.13074765139739533,Mid-Market,Home & Bulky,Ground,0.241574149108482,14,288.6904690172728,-0.3353841670389542,0.2081,Tier 2 - Monitor,422.26,0.0,0.0,0.0,422.26
A100101,66,3098.81,422.09000000000003,660.42,2438.39,0.7868794795421468,0.1362103517156586,Mid-Market,Home & Bulky,Ground Economy,0.2347062182207727,15,311.83929948784,-0.4134351932280084,0.2168,Tier 2 - Monitor,422.09000000000003,0.0,0.0,0.0,422.09000000000003
A100505,61,2842.15,409.78000000000003,652.72,2189.43,0.7703428742325351,0.14417958235842585,Mid-Market,Home & Bulky,Ground Economy,0.2802222086059792,17,262.76556798557084,-0.4670693276911635,0.2295,Tier 2 - Monitor,409.78000000000003,0.0,0.0,0.0,409.78000000000003
